UID;Name;F/PT;Type;Salary;Appearance Fee;Unused Sub Fee;Expires;Offer Status;New Wage;New Date;WaCLG;WaCLG (Games);Loan Expires;Injured On;Injury;Time Out;Condition;Mtc Shp;Sharpness;Player Status;DOB;Height;Weight;Position;Sec. Position;Personality;Media Handling;Preferred Foot;Left Foot;Right Foot;Morale;Match Load;Training Load;Injury Susceptibility;Overall Risk;Workload;Training Happiness;Training Happiness Details;Position/Role;Additional Focus;Loan Status;On Loan From;Squad Status;Transfer Status;Value
31037746;Sam Ashford;F/T;Full Contract;$200 p/w;$60;$40;6/30/2018;-;-;-;-;;-;-;-;-;99% - 99%;90% - 90%;Lacking match sharpness;;9/8/1996 (21 years old);185 cm;169 lbs;M/AM (RL);M (RL);Balanced;Media-friendly;Right Only;Very Weak;Very Strong;Really Good;Light;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;W;Dribbling;Unavailable;;Backup;Not set;$2K
89023445;Pip Boyland;F/T;Full Contract;$230 p/w;;;6/30/2018;-;-;-;-;;-;-;-;-;99% - 99%;90% - 90%;Lacking match sharpness;;4/5/1988 (29 years old);178 cm;163 lbs;D (LC), WB (L);D (C), WB (L);Balanced;Level-headed;Left Only;Very Strong;Very Weak;Very Good;Light;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;DFB;None;Unavailable;;Backup;Not set;$1.8K
28047875;Sam Cowler;N/C;Month To Month;N/A;$200;$9;-;-;-;-;-;;-;-;-;-;97% - 97%;92% - 92%;Match fit;;10/26/1992 (25 years old);188 cm;171 lbs;GK;-;Balanced;Media-friendly;Right Only;Weak;Very Strong;Fairly Okay;Light;Very Heavy;Below Average;Normal injury risk;Very Heavy;Happy with training overall;;GK;One On Ones;Unavailable;;Backup;Not set;$0
31034686;Matt Cripps;P/T;Full Contract;$240 p/w;$45;$10;6/30/2018;-;-;-;-;;-;-;-;-;96% - 96%;90% - 90%;Match fit;;5/4/1993 (24 years old);189 cm;189 lbs;D (C);-;Balanced;Media-friendly;Right Only;Very Weak;Very Strong;Extremely Good;Medium;Medium;Below Average;Low injury risk;Medium;Happy with training overall;;DCB;Marking;Not set;;Backup;Not set;$1.8K
29139301;Martell Daswell;F/T;Full Contract;$220 p/w;$25;;6/30/2018;-;-;-;-;;-;-;-;-;100% - 100%;91% - 91%;Fully fit;;6/22/1998 (19 years old);181 cm;158 lbs;M/AM (C);-;Balanced;Media-friendly;Right Only;Very Weak;Very Strong;Extremely Good;Light;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;AP;Off The Ball;Not set;;First Team;Not set;$2K
29022726;Liam Davis;F/T;Full Contract;$230 p/w;$30;$0;6/30/2020;-;-;-;-;;-;-;-;-;96% - 96%;94% - 94%;Match fit;;11/8/1990 (27 years old);168 cm;152 lbs;M/AM (RL);AM (L);Balanced;Media-friendly;Right;Reasonable;Very Strong;Really Good;Medium;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;W;First Touch;Not set;;Key Player;Not set;$4.4K
29143207;Freddie Gard;N/C;Month To Month;N/A;$180;$9;-;-;-;-;-;;-;-;-;-;97% - 97%;93% - 93%;Match fit;;12/19/1996 (21 years old);170 cm;143 lbs;AM (C);-;Balanced;Level-headed;Right Only;Weak;Very Strong;Extremely Good;Medium;Medium;Below Average;Low injury risk;Medium;Happy with training overall;;SS;Off The Ball;Unavailable;;First Team;Not set;$0
31035108;Jake Gould;P/T;Full Contract;$230 p/w;$65;$15;6/30/2018;-;-;-;-;;-;-;-;-;83% - 83%;84% - 84%;Tired after his last match;;5/15/1987 (30 years old);181 cm;167 lbs;D (L);-;Balanced;Media-friendly;Left Only;Very Strong;Very Weak;Really Good;Light;Medium;Below Average;Increased injury risk;Medium;Happy with training overall;;DFB;None;Not set;;Not Needed;Listed;$1.5K
29165816;Eli Graham;F/T;Full Contract;$220 p/w;$20;$0;6/30/2018;-;-;-;-;;-;-;-;-;97% - 97%;91% - 91%;Match fit;;11/23/1997 (20 years old);173 cm;143 lbs;M/AM (L);M (L);Balanced;Media-friendly;Left Only;Very Strong;Weak;Very Good;Light;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;W;Crossing;Not set;;First Team;Not set;$2.1K
90071454;Llyr Griffiths;F/T;Loan;$140 p/w;;;6/30/2018;-;-;-;-;;6/30/2018;-;-;-;96% - 96%;98% - 98%;Match fit;;8/4/1999 (18 years old);176 cm;154 lbs;D (R);-;Balanced;Level-headed;Right Only;Weak;Very Strong;Very Good;Medium;Medium;Low;Normal injury risk;Medium;Happy with training overall;;DFB;None;Not set;Wrexham;First Team;Not set;$2.6K
