UID;Name;CA;PA;Yel;Tgls/90;Tcon/90;Tck;Tck R;Starts;Shutouts;Shot/90;ShT/90;Svt;Svp;Svh;Red;PoM;Pts/Gm;Pen/R;Pas %;Ps A/90;Off;Mstks;Gl Mst;Last Gl;Last C;Mins/Gm;Mins;Last 5 Games;K Tck;K Ps/90;K Pas;K Hdrs;Int/90;Hdr %;Hdrs W/90;Gls/90;All/90;Conc;Gls;G. Mis;Won;Lost;D;Gwin;FA;Fls;DrbPG;Dist/90;Cr C/A;Ch C/90;Av Rat;Mins/Gl;Asts/90;Ast;Apps;Ps C/90
31037746;Sam Ashford;29;32;1;1.93;1.28;0.50;88%;14;-;1.57;1.00;-;-;-;0;2;1.59;-;75%;32.66;12;13;0;150.00;-;74.24;1 262;6.74;0;1.43;20;11;1.35;55%;2.78;0.36;-;-;5;1;7;4;6;41%;16;7;1.57;7.8mi;12%;0.57;7.24;252.40;0.29;4;14 (3);24.53
89023445;Pip Boyland;34;50;3;1.73;1.13;3.15;90%;17;-;0.12;0.00;-;-;-;0;0;1.67;-;67%;57.76;0;41;0;-;-;84.06;1 513;7.12;2;1.01;17;5;1.90;78%;4.88;-;-;-;0;1;8;4;6;44%;14;19;0.48;6.3mi;37%;0.24;6.84;-;-;0;17 (1);38.66
28047875;Sam Cowler;46;71;0;1.62;1.21;-;-;33;8;1.00;0.06;13;30;41;0;0;1.52;-;40%;45.34;0;6;0;0.00;182.00;87.58;2 890;6.92;0;0.28;9;1;-;0%;-;0.03;1.21;39;1;-;14;11;8;42%;1;0;-;3.0mi;0%;0.12;6.87;2 890.00;-;0;33;18.16
31034686;Matt Cripps;21;38;0;1.43;1.12;1.86;88%;19;-;0.53;0.11;-;-;-;0;0;1.79;-;56%;42.74;0;13;0;-;-;89.21;1 695;6.90;21;0.80;15;18;5.63;86%;8.81;-;-;-;0;-;10;5;4;53%;14;28;0.32;5.4mi;0%;0.21;6.94;-;0.11;2;19;23.95
29139301;Martell Daswell;40;50;1;1.56;1.29;1.34;76%;19;-;1.56;0.48;-;-;-;0;2;1.45;-;72%;51.81;1;35;0;252.00;-;76.05;1 673;7.38;0;1.29;24;5;1.29;45%;2.42;0.32;-;-;6;2;8;6;8;36%;13;17;0.75;7.7mi;17%;0.59;6.99;278.83;0.16;3;19 (3);37.33
29022726;Liam Davis;45;51;0;1.55;1.08;0.83;84%;20;-;1.50;0.72;-;-;-;0;2;1.95;100%;69%;34.66;8;35;1;105.00;-;87.25;1 745;7.24;0;1.13;22;11;0.72;74%;3.30;0.36;-;-;7;-;12;5;3;60%;29;11;1.86;7.8mi;14%;0.46;7.09;249.29;0.10;2;20;23.88
29143207;Freddie Gard;36;71;0;1.98;1.41;0.78;71%;20;-;2.08;0.89;-;-;-;0;1;1.70;100%;77%;47.92;5;28;1;377.00;-;75.13;1 728;6.84;0;2.40;46;3;0.83;34%;1.67;0.26;-;-;5;-;11;6;6;48%;46;20;1.04;7.3mi;29%;0.57;6.99;345.60;0.16;3;20 (3);36.77
31035108;Jake Gould;27;47;1;1.85;1.13;2.98;76%;9;-;0.10;0.00;-;-;-;0;0;2.10;-;60%;56.51;0;28;1;-;-;87.60;876;7.12;2;0.51;5;2;1.75;58%;3.18;-;-;-;0;10;6;1;3;60%;7;15;0.51;6.5mi;0%;-;6.42;-;-;0;9 (1);34.11
29165816;Eli Graham;26;33;0;2.16;1.44;0.64;62%;14;-;0.64;0.40;-;-;-;0;0;1.86;-;71%;26.53;9;16;0;23.00;-;80.21;1 123;7.06;1;0.80;10;3;0.96;44%;1.60;0.16;-;-;2;4;8;4;2;57%;29;8;1.76;7.7mi;12%;0.40;6.74;561.50;0.16;2;14;18.91
90071454;Llyr Griffiths;43;70;1;1.93;1.26;3.34;86%;21;-;0.05;0.05;-;-;-;0;0;2.00;100%;65%;49.74;1;35;0;1 593.00;-;84.64;1 862;6.64;15;0.44;9;14;1.79;73%;3.48;0.05;-;-;1;-;13;4;5;59%;5;26;0.24;6.3mi;3%;0.15;6.72;1 862.00;0.05;1;21 (1);32.14
