UID,Name,CA,PA,CR,HR,WR,Yel,Tgls/90,Tcon/90,Tck,Tck R,Starts,Shutouts,Shot/90,ShT/90,Svt,Svp,Svh,Red,PoM,Pts/Gm,Pen/R,Pas %,Ps A/90,Off,Mstks,Gl Mst,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,K Tck,K Ps/90,K Pas,K Hdrs,Int/90,Hdr %,Hdrs W/90,Gls/90,All/90,Conc,Gls,G. Mis,Won,Lost,D,Gwin,FA,Fls,DrbPG,Dist/90,Cr C/A,Ch C/90,Av Rat,Mins/Gl,Asts/90,Ast,Apps,Ps C/90
95037873,Harry Palmer,35,71,"1,750","1,750",54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.8,-,-,-,-,-,0%,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0%,-,-,-,-,-,-,-
95037355,Fabio Manuel,25,29,"1,414","1,410",205,0,0,2,1,50%,1,-,-,-,-,-,-,0,0,1.35,-,74%,27,0,2,0,-,-,90,90,6.6,0,-,0,0,1,0%,0,-,-,-,0,-,0,1,0,0%,4,1,3,7.1mi,0%,-,6.5,-,-,0,1,20
95031827,Luke Mallett,30,49,"1,548","1,548",112,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,75%,-,0,0,0,-,-,16,16,7.4,0,-,1,0,-,100%,-,-,-,-,0,2,0,1,0,0%,0,0,5.62,-,100%,-,6.7,-,-,0,0 (1),-
90071454,Llyr Griffiths,37,70,254,"1,511",335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89052551,Billy Hunt,47,62,"2,314","2,372",440,0,0.38,1.13,0.75,100%,3,-,1.51,0,-,-,-,0,0,1.15,-,78%,25.98,7,1,0,-,-,79.67,239,6.84,0,0.38,1,1,-,29%,3.01,-,-,-,0,-,0,2,1,0%,9,1,0.38,6.3mi,0%,0.38,6.3,-,-,0,3,20.33
89047112,Connor Witherspoon,25,41,"1,504","1,358",160,0,0,1,4,100%,1,-,1,0,-,-,-,0,0,1.35,-,86%,35,0,0,0,-,-,90,90,6.76,0,-,0,0,1,33%,1,-,-,-,0,2,0,1,0,0%,0,0,-,6.3mi,0%,-,6.5,-,-,0,1,30
89023445,Pip Boyland,34,50,"1,622","1,622",336,0,0.33,1.33,2.33,88%,3,-,0.67,0,-,-,-,0,0,1.15,-,69%,56.33,0,7,0,-,-,90,270,7.1,0,0.67,2,0,3,70%,5.33,-,-,-,0,-,0,2,1,0%,6,2,1,6.5mi,100%,0.33,6.7,-,-,0,3,39
5108186,Matt Somner,39,79,"1,740","2,166",500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.8,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31037746,Sam Ashford,29,32,"1,440","1,440",94,0,1,1,-,-,1,-,2,2,-,-,-,0,0,1.45,-,78%,27,2,0,0,-,-,90,90,6.43,0,1,1,2,2,40%,4,-,-,-,0,3,0,0,1,0%,0,1,-,8.3mi,0%,1,6.6,-,1,1,1,21
31037737,Louie Newland,24,27,"1,185","1,185",88,1,0,0,-,-,1,-,2.43,1.22,-,-,-,0,0,1.35,-,75%,74.19,0,3,0,-,-,74,74,6.48,0,-,0,0,3.65,60%,3.65,-,-,-,0,2,0,1,0,0%,2,4,-,6.8mi,0%,-,6.5,-,-,0,1,55.95
31036024,Robbie Rees,28,34,"1,389","1,389",152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.5,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31035534,Alex Taylor,19,29,939,939,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31035112,Sean Hobbins,21,69,"1,046","1,046",80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.5,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31035111,Charlie Lindoe,18,78,"1,598","1,521",632,0,1.7,1.02,0.68,67%,3,-,0.34,0.34,-,-,-,0,0,1.55,-,52%,21.14,9,0,0,110,-,88,264,6.76,0,-,0,0,0.68,33%,0.68,0.34,-,-,1,-,1,0,2,33%,0,0,2.05,3.2mi,43%,0.34,6.8,264,-,0,3,10.91
31035110,Rob Harvey,26,78,"1,314","1,314",66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.63,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31035109,Connor Hogan,23,29,"1,371","1,349",285,0,0,0.5,0.5,100%,2,-,1.5,0,-,-,-,0,0,1.3,-,74%,52,0,2,0,-,-,90,180,6.92,0,2.5,5,0,1,40%,1,-,-,-,0,1,0,1,1,0%,4,1,-,7.2mi,0%,0.5,6.95,-,-,0,2,38.5
31035108,Jake Gould,30,47,"1,665","1,662",323,0,0,0,3,100%,1,-,-,-,-,-,-,0,0,1.45,-,50%,44,0,3,0,-,-,90,90,6.44,0,1,1,2,2,75%,6,-,-,-,0,1,0,0,1,0%,0,1,-,6.2mi,0%,-,6.8,-,-,0,1,22
31035107,Josh Gould,27,30,"1,016","1,229",267,0,0.5,1,1,67%,2,-,0.5,0.5,-,-,-,0,1,1.3,-,66%,43.5,0,1,0,155,-,90,180,6.92,0,-,0,2,2,58%,5.5,0.5,-,-,1,2,0,1,1,0%,2,1,0.5,5.7mi,0%,-,6.85,180,-,0,2,28.5
31034686,Matt Cripps,28,38,"1,453","1,453",249,0,0,1,4,100%,1,-,3,1,-,-,-,0,0,1.35,-,57%,44,0,2,0,-,-,90,90,6.7,3,1,1,0,3,57%,4,-,-,-,0,2,0,1,0,0%,2,1,-,4.9mi,0%,-,7.2,-,-,0,1,25
31034685,Harry McDonald,25,61,652,"1,340",539,0,0,0,1,100%,1,-,-,-,-,-,-,0,0,1.45,-,74%,38,1,4,0,-,-,90,90,6.7,0,3,3,0,-,0%,0,-,-,-,0,1,0,0,1,0%,3,0,6,7.6mi,0%,1,7,-,-,0,1,28
31034684,Nick Punter,38,38,"1,889","1,889",184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.43,-,-,-,-,-,0%,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0%,-,-,-,-,-,-,-
29165816,Eli Graham,25,33,"1,248","1,248",50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29164157,Jordan Hancox,40,47,"1,088","2,116",352,0,0.33,1,0.67,67%,3,-,1,0.33,-,-,-,0,0,1.25,-,74%,27.33,0,3,0,-,-,90,270,6.86,0,1,3,0,-,43%,1,-,-,-,0,-,0,1,2,0%,3,6,1.33,7.9mi,13%,-,6.7,-,-,0,3,20.33
29158374,Conner Williamson,40,52,"1,132","1,974",447,1,0,1,6.5,100%,2,-,1.5,0.5,-,-,-,0,0,1.3,-,48%,32,0,3,0,-,-,90,180,6.78,4,-,0,0,1,71%,5,-,-,-,0,-,0,1,1,0%,1,8,0.5,5.1mi,0%,-,6.65,-,-,0,2,15.5
29150495,George Harmes,40,65,788,"1,859",622,0,0.47,1.89,1.42,100%,2,-,0.47,0,-,-,-,0,0,1.1,-,73%,54.47,0,0,0,-,-,47.5,190,6.48,0,0.95,2,0,1.42,38%,2.37,-,-,-,0,-,0,2,2,0%,3,1,0.47,7.4mi,0%,0.47,6.53,-,-,0,2 (2),39.79
29143207,Freddie Gard,33,71,"1,789","1,894",318,0,0,1,0,0%,2,-,2,0,-,-,-,0,0,1.3,-,78%,45,0,2,0,-,-,90,180,6.64,0,3,6,0,0.5,12%,0.5,-,-,-,0,-,0,1,1,0%,5,2,1.5,7.2mi,100%,0.5,6.75,-,-,0,2,35
29142046,Joseph Noughele,40,61,"1,800","1,954",340,0,0.33,1,3,69%,3,-,-,-,-,-,-,0,0,1.25,-,54%,42,0,2,0,-,-,90,270,6.64,5,-,0,3,3,88%,7.33,-,-,-,0,-,0,1,2,0%,0,5,0.33,5.7mi,0%,-,6.6,-,-,0,3,22.67
29140253,Robbie Parsons,40,67,304,"1,787","1,740",0,1,1,-,-,1,-,-,-,-,-,-,0,0,1.45,-,68%,28,0,1,0,-,-,90,90,,0,1,1,0,-,0%,0,-,-,-,0,3,0,0,1,0%,5,0,2,6.1mi,40%,-,6.7,-,-,0,1,19
29139301,Martell Daswell,40,50,"1,151","1,850",480,0,0,0,0.94,100%,1,-,-,-,-,-,-,0,0,1.4,-,72%,56.25,0,1,0,-,-,48,96,,0,2.81,3,0,0.94,67%,3.75,-,-,-,0,-,0,0,2,0%,1,0,1.88,8.2mi,0%,-,6.7,-,-,0,1 (1),40.31
29129863,Aaron Condon,24,25,937,"1,068",65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29129852,Ricky Griggs,24,28,"1,031","1,231",76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29084292,Brandon Zibaka,40,72,"1,980","2,016",414,0,0,0.74,1.49,100%,1,-,1.49,0.74,-,-,-,0,0,1.3,-,78%,17.11,4,1,0,-,-,60.5,121,6.65,0,-,0,0,-,15%,2.23,-,-,-,0,1,0,1,1,0%,4,1,1.49,6.5mi,0%,-,6.35,-,-,0,1 (1),13.39
28099014,Lewis Suddick,40,51,"1,800","1,939","1,020",0,0,1,3,69%,3,-,-,-,-,-,-,0,0,1.15,-,68%,57.67,0,5,0,-,-,90,270,6.44,0,0.67,2,0,1,78%,2.33,-,-,-,0,-,0,2,1,0%,1,4,-,6.0mi,0%,-,6.5,-,-,0,3,39
28059788,Archie Love,41,86,"1,997","1,997",534,0,0,2,1,100%,1,-,1,0,-,-,-,0,0,1.35,-,76%,63,0,2,0,-,-,90,90,,0,-,0,1,4,25%,1,-,-,-,0,-,0,1,0,0%,6,0,1,6.9mi,0%,-,6.7,-,-,0,1,48
28047875,Sam Cowler,46,71,"2,282","2,286",532,0,0.25,1,-,-,4,1,1.75,0,3,3,5,0,0,1.1,-,21%,39.75,0,1,0,-,3,90,360,,0,0.25,1,0,-,0%,-,-,1,4,0,-,0,2,2,0%,1,0,-,3.0mi,0%,0.25,6.68,-,-,0,4,8.25
215497,Ashley Thorpe,24,50,"1,152","1,152",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
215495,Chris Richards,25,58,"1,245","1,245",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437260,Oscar Shaw,10,18,740,550,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437259,Simon Jenkinson,5,18,702,301,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437258,Chris McCarthy,9,11,482,386,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.15,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437257,Tommy Greengrass,31,36,980,"1,359",192,0,0,0,1.22,100%,1,-,-,-,-,-,-,0,0,1.35,-,92%,43.78,0,1,0,-,-,74,74,6.6,0,-,0,0,-,-,-,-,-,-,0,2,0,1,0,0%,3,0,-,6.5mi,33%,-,6.5,-,-,0,1,40.14
1915437256,Danny Freeman,10,16,866,590,142,0,1,1,4,67%,1,-,-,-,-,-,-,0,0,1.45,-,81%,52,1,2,0,-,-,90,90,6.63,0,1,1,0,1,60%,3,-,-,-,0,3,0,0,1,0%,1,2,-,7.6mi,0%,-,6.7,-,-,0,1,42
1915437255,Rodney McQuillan,21,31,750,918,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437254,Matthew Smyth,19,20,994,"1,045",88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.55,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437253,David Farrell,13,20,667,566,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437252,Kevin Arnison,8,15,973,507,64,0,0,1,0,0%,1,-,-,-,-,-,-,0,0,1.35,-,73%,52,0,0,0,-,-,90,90,6.45,0,-,0,0,-,40%,2,-,-,-,0,2,0,1,0,0%,6,0,2,6.8mi,0%,-,6.6,-,-,0,1,38
1915437251,Dean Maher,10,13,974,572,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.55,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437250,Harrison Leivesley,16,19,992,887,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437249,Robert Baker,11,54,428,476,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437248,Allan Doyle,9,12,752,460,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437247,Cameron Whight,10,16,725,572,209,0,1,1,2,100%,1,-,-,-,-,-,-,0,0,1.45,-,59%,49,0,0,0,-,-,90,90,,0,-,0,0,2,67%,2,-,-,-,0,3,0,0,1,0%,0,0,1,6.4mi,0%,-,6.3,-,-,0,1,29
1915437246,Steve Nisbet,10,23,987,561,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1915437245,David Brown,5,8,950,317,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,0%,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0%,-,-,-,-,-,-,-
1915437244,Ryan Holloway,16,17,997,832,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,0%,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0%,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sigames.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
